layer,sentence_length,word_content,tree_depth,bigram_shift,past_present,subj_number,obj_number,odd_man_out,coordination_inversion
0,0.1666666666666666,0.001,0.2158,0.5387547649301143,0.5,0.4999,0.4999,0.4999,0.4991
1,0.8109243697478992,0.2011,0.4063,0.5406607369758577,0.7917,0.76,0.7125,0.5058,0.6089
2,0.8337334933973589,0.467,0.4289,0.5724269377382465,0.8514,0.7984,0.7372,0.5071,0.6912
3,0.8263305322128851,0.436,0.4186,0.6099110546378653,0.8546,0.7984,0.7465,0.5129,0.6973
4,0.8113245298119248,0.4544,0.417,0.6442185514612452,0.8579,0.8054,0.754,0.4981,0.7275
5,0.767907162865146,0.4287,0.4316,0.7420584498094028,0.8925,0.8275,0.7319,0.5014,0.8334
6,0.7334933973589436,0.4406,0.4323,0.7579415501905972,0.9112,0.8442,0.7199,0.5085,0.8676
7,0.6944777911164466,0.376,0.4254,0.7598475222363406,0.9121,0.8254,0.7117,0.4985,0.8921
8,0.671468587434974,0.3501,0.4197,0.7712833545108005,0.9148,0.8381,0.7128,0.5074,0.8983
9,0.6442577030812325,0.3228,0.4163,0.7928843710292249,0.9103,0.8379,0.7106,0.4997,0.902
10,0.608843537414966,0.3142,0.4149,0.795425667090216,0.9073,0.8254,0.7033,0.5027,0.8965
11,0.5686274509803921,0.3079,0.3951,0.7820838627700127,0.8984,0.8012,0.6972,0.4964,0.8916
12,0.5004001600640257,0.3096,0.3979,0.7878017789072427,0.8774,0.7971,0.6958,0.5019,0.87
