layer,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4+
0,0.6915048287543096,0.41880521264620024,0.23350307659664757,0.14644755920734653,0.06462984723854288
1,0.9517037352309369,0.24084638720879203,0.16836409929980903,0.1652972450459159,0.15746180963572268
2,0.9604507011789085,0.26477266222739504,0.21037555697008276,0.2126631222812953,0.23266745005875442
3,0.9575777820610883,0.31777680257961116,0.24962868661150012,0.24552924117931368,0.27497062279670975
4,0.9648699729366483,0.3921505027570548,0.3160407383831954,0.30401159980666986,0.3172737955346651
5,0.9846550883549093,0.7418290053614699,0.5573944409081265,0.46737554374093765,0.42773207990599293
6,0.9863837239625352,0.7697429928831734,0.6177593889242521,0.5316578057032383,0.5135135135135135
7,0.9947565301346888,0.9458319818358741,0.9092934436664545,0.8907684871918802,0.8719153936545241
8,0.9955074661882538,0.9499341741237527,0.9133248461701676,0.8994683421942967,0.8742655699177438
9,0.9965837206482994,0.9745473278510236,0.9656269891788669,0.9555340744320928,0.9412455934195064
10,0.9963290477938964,0.9780580412508825,0.9697644812221515,0.9637506041565974,0.9494712103407755
11,0.9961467648261901,0.9779626414302341,0.9706131975387227,0.9608506524891252,0.9506462984723855
12,0.9959383168391959,0.9772948426856958,0.9719923615531508,0.9598840019333011,0.9494712103407755
