layer,bucket_0,bucket_1,bucket_2,bucket_3,bucket_4+
0,0.6917098445595855,0.5246305418719212,0.3050847457627119,0.11764705882352941,0.3333333333333333
1,0.6884715025906736,0.5394088669950738,0.4067796610169492,0.23529411764705882,0.6666666666666666
2,0.7984132124352331,0.45566502463054187,0.423728813559322,0.29411764705882354,0.6666666666666666
3,0.8343588082901554,0.5147783251231527,0.4067796610169492,0.29411764705882354,0.3333333333333333
4,0.8508743523316062,0.5344827586206896,0.4576271186440678,0.5294117647058824,0.3333333333333333
5,0.8762953367875648,0.625615763546798,0.559322033898305,0.5294117647058824,0.3333333333333333
6,0.9185556994818653,0.8103448275862069,0.7966101694915254,0.7647058823529411,0.3333333333333333
7,0.9284326424870466,0.8078817733990148,0.8135593220338984,0.5882352941176471,0.3333333333333333
8,0.9284326424870466,0.7931034482758621,0.8135593220338984,0.6470588235294118,0.3333333333333333
9,0.9271373056994818,0.8349753694581281,0.847457627118644,0.6470588235294118,1.0
10,0.9559585492227979,0.8916256157635468,0.9152542372881356,0.8823529411764706,1.0
11,0.975550518134715,0.9408866995073891,0.9661016949152542,1.0,0.6666666666666666
12,0.9739313471502591,0.9458128078817734,0.9661016949152542,0.9411764705882353,1.0
