layer,bag_of_words,bidirectional,left_to_right,random_tree,right_to_left,tree
0,7.043959093339021e-05,0.00021409156492627708,0.00032360511568214526,0.00029291765372246756,0.0002743388461243682,0.00039227142824459113
1,0.0011448485857024724,0.003117981577007287,0.0022108190328370527,0.002112033366346781,0.002148584304410172,0.002347458111259739
2,0.0015869618870517621,0.0026445856758741983,0.0022455843974654487,0.0023502607925947236,0.0022644560792203497,0.002954504598522975
3,0.0028504395567990433,0.003237570432867521,0.003054474153071445,0.0032995505350427493,0.0031732929503194896,0.003482606133776725
4,0.005110682422174092,0.010234906643543961,0.008763298364274322,0.009249042084502786,0.007816764991926864,0.009909272037171521
5,0.0075446177440612,0.014280055326414548,0.012507456594289187,0.01341863001528178,0.01271236125399442,0.013532646884045093
6,0.012128324567459799,0.02178497024299495,0.018386270786866363,0.020146159044547116,0.01980137477977519,0.01948416221710102
7,0.02673128393365754,0.04504756098603322,0.03541460289608406,0.03940822010823838,0.03957611819562258,0.03714311141723699
8,0.02315992808169137,0.03988530214096834,0.03132471891431063,0.03510013948726633,0.03440713089790935,0.03222790115825531
9,0.037478881511045045,0.0625778521086713,0.046812488459482764,0.05265714924055788,0.05362279756914543,0.04753378964999857
10,0.05278582191975338,0.09127827322388785,0.06590917061366179,0.07314596317093067,0.07343878293079316,0.06594988634276264
11,0.04412765422662448,0.07812325462410866,0.055955422473236635,0.0624194515102358,0.06273056525651935,0.056451900759302676
12,0.03640421210933863,0.06524601358259081,0.04832646146966619,0.053390787398354234,0.05311861319968277,0.05058618655313716
