layer,bag_of_words,bidirectional,left_to_right,random_tree,right_to_left,tree
0,5.248970757065763e-08,0.0017783359233289958,0.0015352811738848686,0.0014698645127937198,0.0012756085847504437,0.0033037842325866224
1,0.000719702638220042,0.0020592293022200464,0.0013556474931538105,0.0016938300468027593,0.0012009783615358175,0.003311646131798625
2,0.000861650181002915,0.002991396488621831,0.0014276519464328885,0.0018531247926875949,0.001495289098471403,0.002413542645983398
3,0.0015087020974606275,0.002563088348135352,0.0024548623524606227,0.00276913570612669,0.002401652529835701,0.003480207435786724
4,0.00723071888834238,0.012010650560259819,0.011261594966053962,0.011382694542407989,0.011259710401296615,0.013134645499289036
5,0.024995316803455354,0.04350865614414215,0.03766513147950173,0.03863828858733177,0.03741163548827171,0.042656761705875394
6,0.05074443632364273,0.0839498631954193,0.06951157182455063,0.07247576755285264,0.07018673717975617,0.08721875959634781
7,0.08634995102882385,0.13069534206390382,0.11100577592849731,0.11637023907899857,0.11255432248115539,0.13439994370937347
8,0.11838777041435242,0.16501431441307068,0.1456286096572876,0.1497253476381302,0.14645131379365922,0.1685484642982483
9,0.15026649081707,0.20298466324806214,0.18234446966648102,0.18381154656410217,0.18039460301399232,0.20443536746501922
10,0.23842973697185516,0.3099091064929962,0.28098103940486907,0.2825069123506546,0.27931322920322416,0.31044763851165774
11,0.40156684565544126,0.5145033779144287,0.46231158590316773,0.46862477135658265,0.4588458702564239,0.5043472399711609
12,0.2549815809726715,0.33509067702293394,0.30110573053359985,0.3064454777240753,0.2985007841587067,0.3260945763587952
